conversation_id,topic,question,gold_answer,literal_answer,pragmatic_answer,retrieved_answer,literal_f1,literal_precision,literal_recall,pragmatic_f1,pragmatic_precision,pragmatic_recall,retrieved_f1,retrieved_precision,retrieved_recall,literal_context_length,pragmatic_context_length,retrieved_context_length,num_retrieved_passages
0,A Nightmare on Elm Street (2010 film),who is freddy krueger?,"Freddy Kruger is the nightmare in nighmare on Elm street. Please note, and to be very clear, the system that loads up wiki is not allowing access to Adam Prag, to the page... so I'll have to go from memory.  Normally you can paste things and back up what you are saying, but today that's not happening. alas.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1,A Nightmare on Elm Street (2010 film),who was the star on this movie?,"Robert Englund IS Freddy Kruger, the bad guy for these films. Note to you and to Adam, the Pragmatic one, the link here is broken and I can't paste relevant things, as has always been Nightmare's case, I'm perfectly good with answering your questions and will quickly do it, but have to open a tab in another window separate from the hit, I WILL go quickly and answer at rapid speed though, don't worry.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,A Nightmare on Elm Street (2010 film),What is the movie about?,"Ok, here goes, I'm getting ""Cannot get""..so, Nightmare on Elm street centers around the fact that in your dreams, Freddie Kruger, a dark figure can chase you and if you are killed while sleeping you die.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
3,A Nightmare on Elm Street (2010 film),Who directed the new film?,It was Directed by: Samuel Bayer. Note that the link here is broken. So I'm having to get some of this from memory. I copied what I have (this is ALL I have).,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
4,Batman,Is the Batman comic similar to the movies?,"I would say the movie and comics has same story line, as Batmans parents were the most wealthy folks in Gotham city, and they were killd while returning from a function by a small time criminal called Joe Chill",Gotham City socialites,his parents were killed by a small-time criminal named Joe Chill,different franchise,0.4,0.36000000000000004,0.44000000000000006,0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,121,96,38840,5
5,Batman,what is batman's real name?,Batman was created by Bob Kane and Bill Finger. His real identity is Bruce Wayne.,Bruce Wayne,Bruce Wayne,"Bruce Wayne
      



       Aliases",0.6666666666666666,0.6,0.7333333333333334,0.6666666666666666,0.6,0.7333333333333334,0.5,0.45,0.55,11,200,120761,5
6,Batman,How old was batman when he first became batman?,"I don't know. It is not clear when Bruce Wayne becomes Batman, but he becomes Batman sometime after his parents die.",I don't know,Bruce,1939,0.4996249062265567,0.449662415603901,0.5495873968492124,0.0,0.0,0.0,0.0,0.0,0.0,12,107,218798,5
7,Batman,"Does Batman Have super powers, like invisibility, or the ability to organically shoot a web from his hand?","No, Batman has no super powers like other super heroes because he only relies on his intellect, detective skills, his wealth, physical prowess, aggressiveness, science and technology when he fights crime.",,intellect,does not possess any superpowers,0.0,0.0,0.0,0.2222222222222222,0.19999999999999998,0.24444444444444446,0.24999978124997269,0.22499980312497542,0.27499975937496995,0,116,218798,5
8,Batman,Who are Batman's biggest enemies?,"The Joker and Catwoman are original enemies of Batman. However, there are numerous others one such being the super villain Mr. Bloom.",Catwoman,Catwoman,Blue Beetle,0.4,0.36000000000000004,0.44000000000000006,0.4,0.36000000000000004,0.44000000000000006,0.0,0.0,0.0,22,58,104536,5
9,Batman,What is Batmans real name?,Batman's real identity is Bruce Wayne. He lives in Gotham City and is the CEO of Wayne Enterprises.,Bruce Wayne,CEO of Wayne Enterprises,"Bruce Wayne
      



       Aliases",0.5,0.45,0.55,0.49624060150375937,0.44661654135338347,0.5458646616541354,0.49624060150375937,0.44661654135338347,0.5458646616541354,46,25,120761,5
10,Batman,"Ok, Is batman a superhero?","Yes, he has been the protector of Gotham City for a long time.",,Batman,"Unlike most superheroes, he does not possess any superpowers",0.0,0.0,0.0,0.4996249062265567,0.449662415603901,0.5495873968492124,0.0,0.0,0.0,0,52,218798,5
11,Batman,who is the hero in batman,Bruce Wayne was the hero in batman,Bruce Wayne,Batman,"Bruce Wayne
      



       Aliases",0.6666666666666666,0.6,0.7333333333333334,0.0,0.0,0.0,0.5,0.45,0.55,11,6,104311,5
12,Batman,When did Batman first appear?,"Batman first appeared in the Detective Comics #27 in May, 1939. The character is a superhero co-created by a famous artist and separate writer.","May, 1939",Batman is a superhero co-created by artist Bob Kane,"May, 1939",0.4,0.36000000000000004,0.44000000000000006,0.5714285714285715,0.5142857142857143,0.6285714285714287,0.4,0.36000000000000004,0.44000000000000006,50,74,218798,5
13,Batman,Did Batman start with a book or a movie?,"That would be a comic book, specifically.  The character made his first appearance in Detective Comics #27 (May, 1939)",Detective Comics,Detective Comics,comic book,0.5,0.45,0.55,0.5,0.45,0.55,0.4996249062265567,0.449662415603901,0.5495873968492124,32,75,25372,5
